population,fitness
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
2,0.9972488565388044
2,0.999144548154133
2,0.9984524818030776
2,0.9370533132272434
2,0.975769546448364
2,0.9991433510339712
2,0.9972488565388044
2,0.9984524818030776
2,0.9984524818030776
2,0.9996131204507693
3,0.8964595018776816
3,0.9975981102159509
3,0.9941538201449592
3,0.9348935877586421
3,0.9729944837826228
3,0.9975947396452344
3,0.9972488565388044
3,0.9969049636061549
3,0.9969049636061549
3,0.9980656022538469
4,0.8949664433144057
4,0.9167436340057588
4,0.9926063019480366
4,0.9333983932034565
4,0.975769546448364
4,0.9953574454092322
4,0.9957013383418818
4,0.9953574454092322
4,0.9854328986918919
4,0.8972475050082995
5,0.8940469196596871
5,0.9167436340057588
5,0.9890599077962529
5,0.9319031986482709
5,0.9728515374193233
5,0.9938099272123098
5,0.9914555838085367
5,0.9938099272123098
5,0.9838324891511113
5,0.8957544464450236
